name,obj_type,raj2000,dej2000,constellation,maj_ax_deg,min_ax_deg,pos_ang,mag_b,mag_v,mag_j,mag_h,mag_k,surf_br_B,hubble_type,messier_nr,other_ngc,ic_cross,comname,notes
IC0001,**,2.1127083333333334,27.71766666666667,Peg,,,,,,,,,,,,,,,
IC0002,G,2.7536666666666667,-12.822861111111111,Cet,0.016333334,0.0053333333,142.0,15.46,,12.26,11.48,11.17,23.45,Sb,,,,,
IC0003,G,3.025375,-0.4152222222222222,Psc,0.0155,0.011166667,53.0,14.78,,11.53,10.79,10.54,23.5,E,,,,,
IC0004,G,3.36225,17.486444444444444,Peg,0.0195,0.014,12.0,14.14,,11.51,10.65,10.5,23.01,Sc,,,,,
IC0005,G,4.3955416666666665,-9.54336111111111,Cet,0.0165,0.011,9.0,14.57,,11.5,10.85,10.5,23.4,E,,,,,
IC0006,G,4.729333333333334,-3.2760833333333332,Psc,0.0205,0.018,146.0,14.57,,11.03,10.32,10.08,23.89,E,,,,,
IC0007,G,4.721500000000001,10.594694444444444,Psc,0.015,0.0105,174.0,14.63,,11.33,10.57,10.26,23.22,S0,,,,,
IC0008,G,4.761333333333333,-3.2220833333333334,Psc,0.013666667,0.0056666667,129.0,15.16,,12.7,12.08,12.08,23.4,E?,,,,,
IC0009,G,4.93325,-14.12188888888889,Cet,0.009833333,0.0076666665,122.0,15.41,,12.38,11.71,11.28,22.88,Sa,,,,,
IC0010,G,5.0722499999999995,59.30377777777778,Cas,0.11266667,0.1005,129.0,11.78,10.35,7.23,6.34,6.01,24.53,IB,,,,,
IC0011,Dup,13.247291666666667,56.62188888888888,Cas,,,,,,,,,,,,0281,,,
IC0012,G,5.062708333333333,-2.6531111111111114,Psc,0.016,0.0053333333,20.0,15.08,,12.02,11.3,10.92,22.93,Sbc,,,,,
IC0013,G,5.083708333333332,7.7005,Psc,0.0215,0.008833333,162.0,14.93,,12.57,11.78,11.72,23.53,Sbc,,,,,
IC0014,**,5.630375,10.49025,Psc,,,,,,,,,,,,,,,
IC0015,G,6.989958333333332,-0.06127777777777778,Cet,0.007333333,0.0063333334,91.0,15.9,,12.98,12.33,12.03,22.85,SBb,,,,,
IC0016,G,7.031875,-13.093916666666667,Cet,0.009666666,0.0053333333,62.0,15.15,,12.75,12.05,11.71,23.0,S0-a,,,,,
